DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1986,660317,1.3,864.9,155.2,1.3,864.9,155.2,0,0,0,ULTRA-DEEP,MC731
1980,318095,2.7,849.7,153.9,2.7,839.6,152.1,0,10.1,1.8,SHALLOW,MI668
1971,43785,17.3,757.8,152.2,17,757,151.7,0.3,0.8,0.5,SHALLOW,EI306
1959,4086,87.3,355.5,150.5,86.3,349.3,148.4,1,6.2,2.1,SHALLOW,GI041
1973,12844,45.7,586.7,150,45.4,586.4,149.7,0.3,0.3,0.3,SHALLOW,EI342
1987,1072,125.4,134.5,149.4,119.8,126.3,142.3,5.6,8.2,7.1,ULTRA-DEEP,MC383
1999,925,126.1,116.7,146.8,101,98.2,118.5,25.1,18.5,28.3,DEEP,GC644
1974,16276,37.6,612.5,146.7,37.4,609.3,145.9,0.2,3.2,0.8,SHALLOW,HI571A
1973,999999,0.6,814.7,145.5,0.6,814.7,145.5,0,0,0,SHALLOW,HI370A
1989,4211,82.4,347.2,144.3,71,320.5,128.1,11.4,26.7,16.2,ULTRA-DEEP,MC522
1977,1145,117.9,135,142,114.8,131.4,138.2,3.1,3.6,3.8,SHALLOW,MP311
1963,4182,78.4,334.9,138,78.3,326.9,136.5,0.1,8,1.5,SHALLOW,WD117
1960,42698,16,683.2,137.6,16,683.2,137.6,0,0,0,SHALLOW,GA288
1963,6626,62.8,417,137.1,61.2,406.3,133.6,1.6,10.7,3.5,SHALLOW,WD105
1966,42393,15.7,668,134.7,15.3,658.9,132.6,0.4,9.1,2.1,SHALLOW,SS246
1980,1662,103.6,172.2,134.2,102.4,170.9,132.8,1.2,1.3,1.4,SHALLOW,GC019
1999,820,116.9,95.9,134,96.6,81.3,111.1,20.3,14.6,22.9,ULTRA-DEEP,MC773
1963,12209,42.1,513.6,133.5,39.3,500.8,128.4,2.8,12.8,5.1,SHALLOW,SS274
1957,20234,29,586.8,133.4,28.7,577.4,131.5,0.3,9.4,1.9,SHALLOW,WC066
1955,1995,98.2,196,133.1,97.4,194,131.9,0.8,2,1.2,SHALLOW,SS154
1970,11540,43.2,498.2,131.8,42.8,497.9,131.3,0.4,0.3,0.5,SHALLOW,EI258
1975,3272,82.4,271.8,130.7,81.2,261.9,127.8,1.2,9.9,2.9,SHALLOW,WD109
1974,175292,4.2,711.5,130.7,4,699.7,128.5,0.2,11.8,2.2,SHALLOW,EI057
